,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
20,480,BACARDI USA INC,3348,Bombay Sapphire Gin,29.99,22.38,1750.0,57349,1283470.6200000057,363229.68999993766,44829.0,1399260.709999869,82368.01999999261,89286.26999999999,115790.08999986341,8.275090494027681,0.7816875621196534,1.0902163931106292
21,480,BACARDI USA INC,3857,Grey Goose Vodka,49.99,38.27,1750.0,33388,1277758.760000023,460915.3899999462,24610.0,1282474.8999999054,45219.2799999945,89286.26999999999,4716.139999882318,0.36773741145987854,0.7370911704804122,1.0036909471079518
22,8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,24.99,19.52,1750.0,61936,1208990.7200000167,308760.39999994455,46420.0,1167173.799999866,85287.55999999051,18544.489999999998,-41816.9200001508,-3.58275005831656,0.749483337638853,0.965411711348661
23,480,BACARDI USA INC,126,Grey Goose Vodka,32.99,20.14,1000.0,59878,1205942.9200000067,227227.7699999808,39848.0,1202557.5199999327,41840.400000000904,89286.26999999999,-3385.400000073947,-0.28151667955759296,0.6654864891946959,0.9971927361204841
24,12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,16.99,11.76,1750.0,101480,1193404.80000003,241149.199999954,76504.0,1260588.959999842,140562.97999999585,123880.96999999999,67184.15999981202,5.32958499016368,0.753882538431218,1.056296203936678
25,12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,16.99,12.21,1750.0,97473,1190145.3300000117,244592.1399999549,71451.0,1184161.489999829,131277.51999999027,123880.96999999999,-5983.840000182623,-0.5053229690980313,0.7330337631959619,0.9949721770532154
26,7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,25.99,19.69,1750.0,59088,1163442.7199999734,342089.23999993457,47196.0,1244334.039999847,86714.04999998993,38994.78000000001,80891.31999987364,6.5007720917032525,0.7987408610885459,1.0695275483780375
27,480,BACARDI USA INC,4243,Bacardi Superior Rum,19.99,14.49,1750.0,76389,1106876.6099999847,263982.0599999539,49891.0,1113613.089999889,91666.80999999176,89286.26999999999,6736.479999904288,0.6049210502639619,0.6531175954653157,1.0060860261559816
28,8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,39.99,27.2,750.0,40380,1098336.0000000028,251438.1199999957,21442.0,897092.0499999537,2400.1599999999594,48347.26,-201243.95000004908,-22.432920902605197,0.5310054482417038,0.8167737832502544
29,3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,19.99,14.72,750.0,72952,1073853.4400000074,264879.959999954,48078.0,955165.2199998542,37852.00000000438,257032.07000000007,-118688.22000015317,-12.425936111887669,0.6590360785173813,0.8894744705570321
30,7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,18.99,13.43,1750.0,77066,1034996.3799999938,267229.83999995317,63998.0,1198733.0199998424,117585.4799999897,38994.78000000001,163736.63999984856,13.659141549289272,0.8304310590922067,1.1582002054923608
31,11567,CAMPARI AMERICA,3826,Skyy Vodka,19.99,15.74,1750.0,65382,1029112.6799999664,278403.84999994736,48992.0,1018920.0799998776,90011.64999999022,20964.809999999998,-10192.600000088802,-1.000333608116745,0.7493193845400875,0.9900957395646033
32,8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,52.99,34.01,750.0,29829,1014484.2900000048,89937.08000000156,18117.0,958245.3299999866,2035.2499999999682,48347.26,-56238.96000001824,-5.86895216071849,0.6073619631901841,0.9445639912274857
33,17035,PERNOD RICARD USA,3423,Beefeater,26.99,21.25,1750.0,46163,980963.75,293056.08999995305,36175.0,950707.2499999021,66466.48999999106,123780.21999999997,-30256.500000097905,-3.18252543042046,0.7836362454779802,0.9691563526174154
34,8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,13.99,11.1,750.0,87954,976289.3999999905,201895.05999997494,64263.0,893724.6199998792,50594.34000000517,50293.62000000002,-82564.78000011132,-9.238279683972731,0.7306432908111058,0.9154300149114473
35,17035,PERNOD RICARD USA,5734,Malibu Rum,21.99,15.82,1750.0,61639,975128.9800000095,247593.62999996307,47463.0,1021967.3699999101,87207.18999999178,123780.21999999997,46838.389999900595,4.583159049383809,0.7700157367900193,1.0480330202061066
36,480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,17.99,14.17,1750.0,68294,967725.9800000013,176757.06999999358,74730.0,1315137.699999905,137307.899999998,89286.26999999999,347411.7199999037,26.41637601902286,1.0942396110932147,1.3589980295867465
37,4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,18.99,13.76,750.0,69299,953554.2399999768,256804.82999995325,51489.0,992230.1099998899,40536.47000000346,144929.24,38675.86999991303,3.8978730447836667,0.7429977344550427,1.0405596959014245
38,1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,22.99,15.93,750.0,52932,843206.7599999951,312023.3899999432,40375.0,952995.2499998666,31786.320000003096,68601.68000000001,109788.48999987147,11.520360673349298,0.7627711025466637,1.130203522087361
39,12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,26.99,20.45,750.0,41048,839431.6000000037,306690.8499999534,24835.0,708583.6499999138,19554.050000002197,123880.96999999999,-130847.95000008994,-18.466126053022233,0.6050233872539466,0.8441231542866752
